timestamp,event,ip,username,success,date,hour,day_of_week,attempts_by_ip,attempts_by_user,suspicious
2026-07-30 19:49:50.892211,login_attempt,183.178.66.95,root,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:49:51.903140,login_attempt,12.103.194.206,root,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:49:52.914324,login_attempt,136.67.93.14,developer,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:49:53.924453,login_attempt,113.253.30.228,developer,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:49:54.935642,login_attempt,159.98.227.58,backup,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:49:55.971410,login_attempt,243.26.181.172,admin,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:49:57.020905,login_attempt,70.115.165.75,operator,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:49:58.042483,login_attempt,81.184.5.110,root,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:49:59.052551,login_attempt,237.106.233.251,support,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:50:00.062169,login_attempt,247.191.121.138,test,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:50:01.072190,login_attempt,36.138.34.97,support,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:50:02.083238,login_attempt,159.121.117.141,user,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:50:03.093855,login_attempt,26.132.128.140,test,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:50:04.104980,login_attempt,244.235.177.56,root,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:05.115300,login_attempt,26.24.74.31,support,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:50:06.124320,login_attempt,164.165.230.155,backup,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:50:07.135178,login_attempt,96.123.207.63,operator,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:50:08.144494,login_attempt,224.55.162.180,admin,False,2026-07-30,19,Thursday,1,2,False
2026-07-30 19:50:09.154351,login_attempt,70.185.130.208,support,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:10.164482,login_attempt,207.197.98.237,test,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:50:11.174419,login_attempt,89.147.146.62,root,False,2026-07-30,19,Thursday,1,5,False
2026-07-30 19:50:12.184447,login_attempt,165.215.76.148,test,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:13.193402,login_attempt,76.169.84.168,root,False,2026-07-30,19,Thursday,1,6,False
2026-07-30 19:50:14.204146,login_attempt,5.254.58.208,support,False,2026-07-30,19,Thursday,1,5,False
2026-07-30 19:50:15.214119,login_attempt,106.53.179.53,operator,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:50:16.224833,login_attempt,1.141.2.176,backup,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:50:17.235737,login_attempt,243.175.243.103,test,False,2026-07-30,19,Thursday,1,5,False
2026-07-30 19:50:18.246061,login_attempt,138.31.179.70,backup,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:19.257367,login_attempt,107.88.191.193,backup,False,2026-07-30,19,Thursday,1,5,False
2026-07-30 19:50:20.268344,login_attempt,175.10.109.83,developer,False,2026-07-30,19,Thursday,1,3,False
2026-07-30 19:50:21.280374,login_attempt,125.23.178.186,operator,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:22.290724,login_attempt,59.145.90.193,guest,False,2026-07-30,19,Thursday,1,1,False
2026-07-30 19:50:23.300941,login_attempt,47.33.216.129,developer,False,2026-07-30,19,Thursday,1,4,False
2026-07-30 19:50:24.309333,login_attempt,31.106.91.22,backup,False,2026-07-30,19,Thursday,1,6,False
2026-07-30 19:50:25.317437,login_attempt,224.13.78.210,operator,False,2026-07-30,19,Thursday,1,5,False
